af	en-uk	wenk	clue
ca	en-uk	quines	which is
cy	en-uk	gorn	horn, trumpet, corn
da	en-uk	ender	ends, end, behind
de	en-uk	schmalkalden	narrow calden
en-uk	en-uk	abashed	Make (someone) feel embarrassed, disconcerted, or ashamed.
en-uk	en-uk	abated	(of something unpleasant or severe) become less intense or widespread.
en-uk	en-uk	abscond	Leave hurriedly and secretly, typically to escape from custody or avoid arrest.
en-uk	en-uk	accede	Agree to a demand, request, or treaty.
en-uk	en-uk	acme	The point at which something is at its best or most highly developed.
en-uk	en-uk	acolyte	A person assisting a priest in a religious service or procession.
en-uk	en-uk	acrimony	Bitterness or ill feeling.
en-uk	en-uk	addled	Unable to think clearly; confused.
en-uk	en-uk	admonitory	Giving or conveying a warning or reprimand.
en-uk	en-uk	adolescent	(of a young person) in the process of developing from a child into an adult.
en-uk	en-uk	adornment	A thing which adorns or decorates; an ornament.
en-uk	en-uk	adulation	Excessive admiration or praise.
en-uk	en-uk	affable	Friendly, good-natured, or easy to talk to.
en-uk	en-uk	affray	An instance of group fighting in a public place that disturbs the peace.
en-uk	en-uk	affront	An action or remark that causes outrage or offence.
en-uk	en-uk	alacrity	Brisk and cheerful readiness.
en-uk	en-uk	albion	A literary term for Britain or England, often used when referring to ancient or historical times.
en-uk	en-uk	amanuensis	A literary or artistic assistant, in particular one who takes dictation or copies manuscripts.
en-uk	en-uk	amity	Friendly relations.
en-uk	en-uk	amply	Enough or more than enough; plentifully.
en-uk	en-uk	and	Used to connect words of the same part of speech, clauses, or sentences, that are to be taken jointly.
en-uk	en-uk	anodyne	Not likely to cause offence or disagreement and somewhat dull.
en-uk	en-uk	aping	Imitate (someone or something), especially in an absurd or unthinking way.
en-uk	en-uk	aplomb	Self-confidence or assurance, especially when in a demanding situation.
en-uk	en-uk	apotheosis	The highest point in the development of something; a culmination or climax.
en-uk	en-uk	aquiline	Like an eagle.
en-uk	en-uk	arbutus	An evergreen tree or shrub of a genus that includes the strawberry tree.
en-uk	en-uk	ardent	Very enthusiastic or passionate.
en-uk	en-uk	argyles	A pattern composed of diamonds of various colours on a plain background, used in knitted garments such as sweaters and socks.
en-uk	en-uk	arpeggio	The notes of a chord played in rapid succession, either ascending or descending.
en-uk	en-uk	askance	With an attitude or look of suspicion or disapproval.
en-uk	en-uk	asperity	Harshness of tone or manner.
en-uk	en-uk	assuage	Make (an unpleasant feeling) less intense.
en-uk	en-uk	assuaged	Make (an unpleasant feeling) less intense.
en-uk	en-uk	athame	A black-handled, double-edged ritual knife used in modern witchcraft.
en-uk	en-uk	aubusson	A fine tapestry or carpet made at Aubusson, a town in central France, especially one from the late 18th century.
en-uk	en-uk	avens	A plant of the rose family, typically having serrated, divided leaves and seeds bearing small hooks.
en-uk	en-uk	avuncular	Kind and friendly towards a younger or less experienced person.
en-uk	en-uk	bailiwick	One's sphere of operations or area of interest.
en-uk	en-uk	bairn	A child.
en-uk	en-uk	baize	A coarse, typically green woollen material resembling felt, used for covering billiard and card tables.
en-uk	en-uk	ballsache	An annoying or tedious person or thing.
en-uk	en-uk	balmy	Characterized by pleasantly warm weather.
en-uk	en-uk	banter	The playful and friendly exchange of teasing remarks.
en-uk	en-uk	baronet	A member of the lowest hereditary titled British order, with the status of a commoner but able to use the prefix ‘Sir’.
en-uk	en-uk	barrow	A two-wheeled handcart used especially by street vendors.
en-uk	en-uk	basked	Lie exposed to warmth and light, typically from the sun, for relaxation and pleasure.
en-uk	en-uk	basking	Lie exposed to warmth and light, typically from the sun, for relaxation and pleasure.
en-uk	en-uk	bawled	Shout or call out noisily and unrestrainedly.
en-uk	en-uk	baying	(of a dog, especially a large one) bark or howl loudly.
en-uk	en-uk	beck	A stream.
en-uk	en-uk	bedeviled	(of something bad) cause great and continual trouble to.
en-uk	en-uk	bedraggled	Dishevelled.
en-uk	en-uk	bedsit	A one-roomed unit of accommodation typically consisting of combined bedroom and sitting room with cooking facilities.
en-uk	en-uk	bedstead	The framework of a bed on which the mattress and bedclothes are placed.
en-uk	en-uk	befuddled	Cause to become unable to think clearly.
en-uk	en-uk	beguile	Charm or enchant (someone), often in a deceptive way.
en-uk	en-uk	belfries	The part of a bell tower or steeple in which bells are housed.
en-uk	en-uk	bender	An object or person that bends something.
en-uk	en-uk	benison	A blessing.
en-uk	en-uk	besotted	Strongly infatuated.
en-uk	en-uk	bespoke	Be evidence of; indicate.
en-uk	en-uk	blag	Manage to obtain (something) by using persuasion or guile.
en-uk	en-uk	bleated	(of a sheep, goat, or calf) make a characteristic weak, wavering cry.
en-uk	en-uk	blithely	In a way that shows a casual and cheerful indifference considered to be callous or improper.
en-uk	en-uk	bluster	Talk in a loud, aggressive, or indignant way with little effect.
en-uk	en-uk	bollard	A short post used to prevent traffic from entering an area.
en-uk	en-uk	bollards	A short post used to prevent traffic from entering an area.
en-uk	en-uk	bolshy	(of a person or attitude) deliberately combative or uncooperative.
en-uk	en-uk	borstal	A custodial institution for young offenders.
en-uk	en-uk	bougie	A thin, flexible surgical instrument for exploring or dilating a passage of the body.
en-uk	en-uk	bouts	A short period of intense activity of a specified kind.
en-uk	en-uk	bowdlerized	(of a text or account) having had material considered improper or offensive removed.
en-uk	en-uk	boyo	A boy or man (used chiefly as a form of address).
en-uk	en-uk	brazenly	In a bold and shameless way.
en-uk	en-uk	breeches	The part of a cannon behind the bore.
en-uk	en-uk	bristling	(especially of hair) short, stiff, and spiky.
